DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
TV-ISO,0.05,001,2,15.521197071184627,24.147785283560964,0.41365000908446087,5.864445209503174
TV-ISO,0.05,002,2,29.61981792305948,36.11319240276688,0.8030887278606303,6.131304979324341
TV-ISO,0.05,003,2,24.986554293578152,36.436559517906105,0.8419878053442832,6.063455104827881
TV-ISO,0.05,004,2,16.952504339238544,24.957248620309365,0.3331271017218214,6.662088871002197
TV-ISO,0.05,005,2,17.17700732992178,26.844900148457672,0.2786158427463931,6.006532192230225
TV-ISO,0.05,006,2,15.78275644392962,23.0988148279583,0.4174763275369974,5.952677011489868
TV-ISO,0.05,007,2,37.81135844027578,40.585224979036944,0.9558358516173314,6.273966073989868
TV-ISO,0.05,008,2,37.2352084743373,39.21355325063721,0.9509284809156889,5.71036696434021
TV-ISO,0.05,009,2,30.36066338826859,37.942484886706204,0.8738477181822902,6.646958112716675
TV-ISO,0.05,010,2,35.28254988579589,40.879810582499765,0.9504428590410895,6.084961891174316
TV-ISO,0.05,011,2,28.123591807913925,36.586490078792956,0.7988669265634645,6.640639781951904
TV-ISO,0.05,012,2,42.48322204116265,43.50154364347031,0.9683339542450837,6.4035937786102295
TV-ISO,0.05,013,2,23.82430560377085,33.774393145941794,0.8437118091563826,5.73160982131958
TV-ISO,0.05,014,2,34.353785049165396,39.032770078977435,0.8907466084851833,6.445569038391113
TV-ISO,0.05,015,2,22.23777931209758,35.55437623523169,0.734369731867208,5.525660991668701
TV-ISO,0.05,016,2,29.311865459143398,37.60722824473912,0.902621955269733,7.203781843185425
TV-ISO,0.05,017,2,11.141901343736114,20.922076712075675,0.26978464928241236,7.330667018890381
TV-ISO,0.05,018,2,14.200173689088773,24.178748155165685,0.36443558600558185,7.012421131134033
TV-ISO,0.05,019,2,25.284055529541046,34.91858558951625,0.7379195182440739,7.1657328605651855
TV-ISO,0.05,020,2,18.77246592231656,26.054049563378413,0.5199128905856314,6.830142021179199
TV-ISO,0.05,021,2,15.805541758093362,24.763190613314833,0.45862701495572655,5.822916030883789
TV-ISO,0.05,022,2,16.288593362434824,27.332618099552278,0.6090095445902601,5.952604055404663
TV-ISO,0.05,023,2,25.383251343574663,34.72339640428016,0.7633481331017328,6.482999086380005
TV-ISO,0.05,024,2,25.485277159197906,30.957449986456087,0.6589386779113906,6.893357992172241
TV-ISO,0.05,025,2,16.847530345762742,24.177683348429014,0.39108969005672467,6.715038061141968
TV-ISO,0.05,026,2,21.058896779185517,27.538168408559365,0.5167262266564293,5.856282711029053
TV-ISO,0.05,027,2,29.115333050348987,36.60875794357202,0.7564225807748364,5.620779037475586
TV-ISO,0.05,028,2,30.437683271747417,37.13354930870132,0.8936777686992647,6.07663893699646
TV-ISO,0.05,029,2,28.588136748965894,36.25640598273883,0.8205422439549299,5.595519065856934
TV-ISO,0.05,030,2,23.648739990247027,29.925399364178233,0.6799822291989354,6.224535942077637
TV-ISO,0.05,031,2,18.922316957622442,28.898044452187378,0.6268592493033515,5.679310083389282
TV-ISO,0.05,032,2,23.97794359300718,32.80296819603794,0.7889256043593661,6.156843900680542
TV-ISO,0.05,033,2,21.842031511118584,28.84345436097233,0.6523783428994262,6.122836112976074
TV-ISO,0.05,034,2,18.716751871624584,26.899373559778308,0.5858344072826092,5.508947849273682
TV-ISO,0.05,035,2,29.495767662218523,36.15753648110371,0.8518299860989936,5.919646978378296
TV-ISO,0.05,036,2,35.498698059024136,39.491080517956945,0.927377789872587,5.501779079437256
TV-ISO,0.05,037,2,33.59694503370346,38.9281094709845,0.9159753958966677,5.982274055480957
TV-ISO,0.05,038,2,26.587237912908414,36.30601509077125,0.8738408815868633,5.820944786071777
TV-ISO,0.05,039,2,28.27228075865518,33.98101220761181,0.8359645905663721,6.103363990783691
TV-ISO,0.05,040,2,33.10232223991123,39.0550667111685,0.9457390135892928,5.9371819496154785
TV-ISO,0.05,041,2,36.19250744894111,38.25465448140009,0.8489117377042481,5.882216215133667
TV-ISO,0.05,042,2,26.59184142168684,32.51311671330382,0.7799714848644009,6.287324905395508
TV-ISO,0.05,043,2,18.609506199851136,28.736034021402045,0.6592533091810165,5.630041122436523
TV-ISO,0.05,044,2,33.82373895574252,40.26248577806594,0.9434555607156166,5.926781892776489
TV-ISO,0.05,045,2,21.516996206679732,29.678748638800112,0.6172104147681807,5.596598863601685
TV-ISO,0.05,046,2,27.963649546480973,33.741551684240655,0.7737894289914747,6.726809978485107
TV-ISO,0.05,047,2,25.59130352086735,33.66530999060478,0.6667051836654427,6.638719081878662
TV-ISO,0.05,048,2,25.541107860056528,33.713379158359714,0.7145148387076881,5.9996209144592285
TV-ISO,0.05,049,2,29.845505641884955,35.30171497396693,0.7869531863232406,6.017371892929077
TV-ISO,0.05,050,2,27.94376208155481,37.20802618496487,0.7525020121396703,5.84339714050293
TV-ISO,0.05,051,2,23.88878841055806,27.916323178828005,0.6360849395515364,7.3297929763793945
TV-ISO,0.05,052,2,12.657748672623246,20.84224919619154,0.24413282688235477,6.37955904006958
TV-ISO,0.05,053,2,24.309555183237336,28.041152141395813,0.5516125587962604,6.125471830368042
TV-ISO,0.05,054,2,29.447805685609648,37.91290533900957,0.7753308489212827,6.5394628047943115
TV-ISO,0.05,055,2,38.42017400754236,40.529250812079454,0.8750586176203408,5.983705997467041
TV-ISO,0.05,056,2,12.899627620476064,21.08781190804709,0.2282252778468259,5.71199107170105
TV-ISO,0.05,057,2,19.51749050846736,27.48962454261669,0.5221883286837405,6.083132982254028
TV-ISO,0.05,058,2,23.98198280505115,29.862464454196033,0.5571274660972668,5.658446788787842
TV-ISO,0.05,059,2,14.099842795924717,24.335338138791535,0.4106342224101907,6.167273998260498
TV-ISO,0.05,060,2,14.880200113448707,22.21626583567879,0.26139370410208496,5.711853742599487
TV-ISO,0.05,061,2,18.001314364506516,31.325504448995733,0.5480991940689367,5.990302085876465
TV-ISO,0.05,062,2,17.092758486222593,27.908124995324826,0.5433207173306982,5.7263360023498535
TV-ISO,0.05,063,2,14.421119835198901,22.327255143584658,0.31421147717819486,5.953146934509277
TV-ISO,0.05,064,2,27.242126310415422,34.75232342913854,0.8049498396697119,5.923846960067749
TV-ISO,0.05,065,2,14.225967980424466,20.45595812075912,0.2400942745326566,5.574761867523193
TV-ISO,0.05,066,2,13.586044815898902,19.2532378615507,0.21918944780950103,5.895037889480591
TV-ISO,0.05,067,2,14.512922059955283,20.52058718706946,0.23739043602689022,5.495059967041016
TV-ISO,0.05,068,2,15.021098722183003,22.411825189088297,0.24900948650420765,5.97791600227356
TV-ISO,0.05,069,2,33.14847872784951,38.2943268441728,0.902775226684161,5.522960901260376
TV-ISO,0.05,070,2,26.109524509851646,36.5822622397771,0.8548163496715158,6.113296031951904
TV-ISO,0.05,071,2,25.527223768001946,32.04025910900358,0.6707182377060893,5.875488996505737
TV-ISO,0.05,072,2,15.743071514284221,25.38708500536363,0.48614569674776126,5.738554954528809
TV-ISO,0.05,073,2,23.330465471492698,32.3374066198227,0.6385529986306158,6.119883060455322
TV-ISO,0.05,074,2,34.39778908184566,38.00887550835208,0.8947608021449326,5.761336088180542
TV-ISO,0.05,075,2,27.272606286288088,35.216964694494045,0.7966616480769162,6.411434888839722
TV-ISO,0.05,076,2,14.796952778882751,23.173880327056004,0.38814025253418694,5.54567289352417
TV-ISO,0.05,077,2,17.89642787310226,26.71840447456563,0.5349653486841232,6.008258104324341
TV-ISO,0.05,078,2,32.952708008669845,38.10049117611879,0.9181414409750515,6.293144941329956
TV-ISO,0.05,079,2,19.42792772876773,24.318339182911078,0.44472335165418536,5.597969055175781
TV-ISO,0.05,080,2,33.80905750562525,38.65596400046185,0.9509498110109496,5.879956007003784
TV-ISO,0.05,081,2,27.522897398895623,32.94252045616642,0.7048054896316064,5.475847959518433
TV-ISO,0.05,082,2,22.081612557188524,28.817955447500665,0.6248701663701282,6.231276035308838
TV-ISO,0.05,083,2,17.98209314296692,28.725128734923445,0.6156622155321251,7.432422161102295
TV-ISO,0.05,084,2,26.144719230082547,34.180192851976805,0.8295793732566743,11.487794876098633
TV-ISO,0.05,085,2,20.114448955250626,28.864693703823185,0.663794334512067,11.614074945449829
TV-ISO,0.05,086,2,29.50478120289434,34.34409435212712,0.8289747821473813,11.589766263961792
TV-ISO,0.05,087,2,27.40225222235708,36.60460533733159,0.8458136516090907,11.19895601272583
TV-ISO,0.05,088,2,14.600114028793076,21.60777136863325,0.27390912823827734,11.131128072738647
TV-ISO,0.05,089,2,20.365496096488926,30.825953642170738,0.6936945603549771,11.663150072097778
TV-ISO,0.05,090,2,22.76665946624048,28.321177003125015,0.5764625452765613,12.120010137557983
TV-ISO,0.05,091,2,18.26203085192248,25.01578563969273,0.47274784858486035,11.350066900253296
TV-ISO,0.05,092,2,17.318705004330134,23.182994508550692,0.3582974067314803,11.955720901489258
TV-ISO,0.05,093,2,26.696736033927884,34.55554521728165,0.7322584352656348,11.409388780593872
TV-ISO,0.05,094,2,19.734763659466278,28.460288956678244,0.6261155048098566,11.350192785263062
TV-ISO,0.05,095,2,20.74285060543368,29.094595211673187,0.6245471299090698,11.168169975280762
TV-ISO,0.05,096,2,26.542073966179167,36.50439227076076,0.778274653080266,11.200860977172852
TV-ISO,0.05,097,2,26.564442541320208,32.752037881934996,0.7999612528625948,11.401236057281494
TV-ISO,0.05,098,2,17.71254811110071,26.12118640663034,0.4953601571139674,11.478951930999756
TV-ISO,0.05,099,2,16.715237056227085,24.99024905316307,0.43263231482084424,11.227776765823364
TV-ISO,0.05,100,2,14.897635778167679,23.58786161120015,0.37451405131019483,11.247202157974243
